,ROMol,AAScore,trajectory_num,rank_num,lead_num,conf_num,num_heavyatoms,AAScore_LE
1527,<rdkit.Chem.rdchem.Mol object at 0x14b2319e1f20>,-8.829822830623742,trajectory_04,rank_01,lead_0469,confid_8,26,-0.3396085704086055
1561,<rdkit.Chem.rdchem.Mol object at 0x14b2319e6e40>,-8.828828333505168,trajectory_04,rank_01,lead_0346,confid_1,28,-0.31531529762518457
1870,<rdkit.Chem.rdchem.Mol object at 0x14b231a167b0>,-8.824456182334506,trajectory_04,rank_01,lead_0207,confid_7,25,-0.35297824729338023
1836,<rdkit.Chem.rdchem.Mol object at 0x14b231a10890>,-8.813879930272368,trajectory_04,rank_01,lead_0217,confid_7,27,-0.3264399974174951
1446,<rdkit.Chem.rdchem.Mol object at 0x14b231a95b30>,-8.802092561616995,trajectory_04,rank_01,lead_0443,confid_13,28,-0.3143604486291784
1423,<rdkit.Chem.rdchem.Mol object at 0x14b231a95120>,-8.791922028472193,trajectory_04,rank_01,lead_0297,confid_0,28,-0.31399721530257835
1574,<rdkit.Chem.rdchem.Mol object at 0x14b2319eb430>,-8.784754632979407,trajectory_04,rank_01,lead_0493,confid_16,27,-0.325361282702941
1636,<rdkit.Chem.rdchem.Mol object at 0x14b2319f0f90>,-8.776219862704757,trajectory_04,rank_01,lead_0105,confid_0,28,-0.31343642366802704
1661,<rdkit.Chem.rdchem.Mol object at 0x14b2319f6ac0>,-8.772749231152655,trajectory_04,rank_01,lead_0368,confid_18,27,-0.3249166381908391
1833,<rdkit.Chem.rdchem.Mol object at 0x14b231a10740>,-8.769062598226489,trajectory_04,rank_01,lead_0355,confid_9,27,-0.3247800962306107
1407,<rdkit.Chem.rdchem.Mol object at 0x14b231a909e0>,-8.763661193266554,trajectory_04,rank_01,lead_0269,confid_11,27,-0.32458004419505754
1515,<rdkit.Chem.rdchem.Mol object at 0x14b2319e19e0>,-8.762985378885661,trajectory_04,rank_01,lead_0157,confid_18,27,-0.32455501403280224
1841,<rdkit.Chem.rdchem.Mol object at 0x14b231a10ac0>,-8.762665482439663,trajectory_04,rank_01,lead_0302,confid_9,27,-0.32454316601628386
1651,<rdkit.Chem.rdchem.Mol object at 0x14b2319f6660>,-8.75786176456354,trajectory_04,rank_01,lead_0409,confid_5,27,-0.32436525053939036
1604,<rdkit.Chem.rdchem.Mol object at 0x14b2319f0190>,-8.71761191762974,trajectory_04,rank_01,lead_0072,confid_13,27,-0.3228745154677682
1835,<rdkit.Chem.rdchem.Mol object at 0x14b231a10820>,-8.696940082001518,trajectory_04,rank_01,lead_0264,confid_14,27,-0.32210889192598213
1398,<rdkit.Chem.rdchem.Mol object at 0x14b231a905f0>,-8.688557827021564,trajectory_04,rank_01,lead_0102,confid_1,31,-0.28027605893617946
1579,<rdkit.Chem.rdchem.Mol object at 0x14b2319eb660>,-8.684929572268405,trajectory_04,rank_01,lead_0398,confid_10,29,-0.2994803300782209
1706,<rdkit.Chem.rdchem.Mol object at 0x14b2319fbeb0>,-8.677679768457208,trajectory_04,rank_01,lead_0000,confid_10,26,-0.3337569141714311
1430,<rdkit.Chem.rdchem.Mol object at 0x14b231a95430>,-8.67702985586664,trajectory_04,rank_01,lead_0450,confid_14,28,-0.3098939234238086
1563,<rdkit.Chem.rdchem.Mol object at 0x14b2319e6f20>,-8.676563856451047,trajectory_04,rank_01,lead_0313,confid_14,30,-0.2892187952150349
1520,<rdkit.Chem.rdchem.Mol object at 0x14b2319e1c10>,-8.659463206554914,trajectory_04,rank_01,lead_0221,confid_0,27,-0.3207208595020339
